,State_Name,ind_district,Crop_Year,Season,Crop,Area,Production,phosphorus,X1,X2,X3,X4
144,Andhra Pradesh,prakasam,2002,kharif,Rice,19256.0,46927.0,0.0,134204.0,156559.0,616.048,714.372
147,Andhra Pradesh,prakasam,2005,kharif,Rice,54390.0,144351.0,0.0,95446.0,41992.0,958.8,757.8
148,Andhra Pradesh,prakasam,2006,kharif,Rice,41191.0,124809.0,0.0,144351.0,95446.0,869.0,958.8
149,Andhra Pradesh,prakasam,2007,kharif,Rice,47000.0,173000.0,0.0,124809.0,144351.0,899.8,869.0
150,Andhra Pradesh,prakasam,2008,kharif,Rice,47434.0,167774.0,0.0,173000.0,124809.0,937.7,899.8
151,Andhra Pradesh,prakasam,2009,kharif,Rice,32959.0,117730.0,0.0,167774.0,173000.0,635.1,937.7
152,Andhra Pradesh,prakasam,2010,kharif,Rice,48878.0,143300.0,0.0,117730.0,167774.0,1403.0,635.1
177,Andhra Pradesh,srikakulam,1999,kharif,Rice,189027.0,323525.0,0.0,370700.0,278500.0,792.555,1302.844
178,Andhra Pradesh,srikakulam,2000,kharif,Rice,207461.0,399155.0,0.0,323525.0,370700.0,843.453,792.555
179,Andhra Pradesh,srikakulam,2001,kharif,Rice,178771.0,393654.0,0.0,399155.0,323525.0,940.191,843.453
180,Andhra Pradesh,srikakulam,2002,kharif,Rice,153148.0,267550.0,0.0,393654.0,399155.0,743.58,940.191
183,Andhra Pradesh,srikakulam,2005,kharif,Rice,153521.0,271425.0,0.0,448561.0,421799.0,1155.5,1042.8
184,Andhra Pradesh,srikakulam,2006,kharif,Rice,193994.0,491775.0,0.0,271425.0,448561.0,1358.5,1155.5
185,Andhra Pradesh,srikakulam,2007,kharif,Rice,201000.0,613000.0,0.0,491775.0,271425.0,1213.6,1358.5
186,Andhra Pradesh,srikakulam,2008,kharif,Rice,203172.0,408376.0,0.0,613000.0,491775.0,1047.9,1213.6
187,Andhra Pradesh,srikakulam,2009,kharif,Rice,177058.0,371822.0,0.0,408376.0,613000.0,874.3,1047.9
188,Andhra Pradesh,srikakulam,2010,kharif,Rice,205853.0,167482.0,0.0,371822.0,408376.0,1700.5,874.3
213,Andhra Pradesh,vizianagaram,1999,kharif,Rice,132185.0,250846.0,1.0,295600.0,185600.0,921.461,1421.185
214,Andhra Pradesh,vizianagaram,2000,kharif,Rice,129907.0,214347.0,1.0,250846.0,295600.0,1010.49,921.461
215,Andhra Pradesh,vizianagaram,2001,kharif,Rice,106296.0,199624.0,1.0,214347.0,250846.0,1082.915,1010.49
216,Andhra Pradesh,vizianagaram,2002,kharif,Rice,93995.0,115426.0,1.0,199624.0,214347.0,874.955,1082.915
219,Andhra Pradesh,vizianagaram,2005,kharif,Rice,94336.0,131127.0,1.0,291352.0,228366.0,1336.5,1034.5
220,Andhra Pradesh,vizianagaram,2006,kharif,Rice,117452.0,281532.0,1.0,131127.0,291352.0,1273.4,1336.5
221,Andhra Pradesh,vizianagaram,2007,kharif,Rice,124000.0,362000.0,1.0,281532.0,131127.0,1224.7,1273.4
222,Andhra Pradesh,vizianagaram,2008,kharif,Rice,128964.0,307966.0,1.0,362000.0,281532.0,1069.3,1224.7
223,Andhra Pradesh,vizianagaram,2009,kharif,Rice,104550.0,229801.0,1.0,307966.0,362000.0,1032.4,1069.3
224,Andhra Pradesh,vizianagaram,2010,kharif,Rice,126290.0,325213.0,1.0,229801.0,307966.0,1647.9,1032.4
