,State_Name,ind_district,Crop_Year,Season,Crop,Area,Production,Value,X1,X2,X3,X4
0,Andaman and Nicobar Islands,nicobars,2000,kharif,Rice,102.0,321.0,3.1470588239999997,,,,
1,Andaman and Nicobar Islands,nicobars,2001,kharif,Rice,83.0,300.0,3.614457831,321.0,,,
2,Andaman and Nicobar Islands,nicobars,2002,kharif,Rice,189.2,510.84,2.7,300.0,321.0,,
3,Andaman and Nicobar Islands,nicobars,2003,kharif,Rice,52.0,90.17,1.7340384619999998,510.84,300.0,,
4,Andaman and Nicobar Islands,nicobars,2004,kharif,Rice,52.94,72.57,1.370797129,90.17,510.84,,
5,Andaman and Nicobar Islands,nicobars,2005,kharif,Rice,2.09,12.06,5.770334928,72.57,90.17,,
7,Andhra Pradesh,anantapur,1997,kharif,Rice,35600.0,75400.0,2.117977528,,,797.051,837.948
9,Andhra Pradesh,anantapur,1998,kharif,Rice,38300.0,96800.0,2.527415144,37300.0,75400.0,881.4730000000001,797.051
11,Andhra Pradesh,anantapur,1999,kharif,Rice,37991.0,105082.0,2.765970888,63900.0,96800.0,643.72,881.4730000000001
13,Andhra Pradesh,anantapur,2000,kharif,Rice,39905.0,117680.0,2.9490038839999997,45669.0,105082.0,767.3510000000001,643.72
15,Andhra Pradesh,anantapur,2001,kharif,Rice,32878.0,95609.0,2.9079931869999998,57236.0,117680.0,579.3380000000001,767.3510000000001
17,Andhra Pradesh,anantapur,2002,kharif,Rice,29066.0,66329.0,2.282013349,108906.0,95609.0,540.07,579.3380000000001
19,Andhra Pradesh,anantapur,2003,kharif,Rice,17515.0,44891.0,2.56300314,20462.0,66329.0,,
21,Andhra Pradesh,anantapur,2004,kharif,Rice,24335.0,85051.0,3.4950071910000005,25463.0,44891.0,,
23,Andhra Pradesh,anantapur,2005,kharif,Rice,25008.0,69972.0,2.797984645,21622.0,85051.0,819.7,564.5
25,Andhra Pradesh,anantapur,2006,kharif,Rice,22349.0,67427.0,3.017002998,55587.0,69972.0,494.6,819.7
27,Andhra Pradesh,anantapur,2007,kharif,Rice,30000.0,95000.0,3.166666667,31974.0,67427.0,689.9,494.6
29,Andhra Pradesh,anantapur,2008,kharif,Rice,30306.0,94615.0,3.121989045,37000.0,95000.0,867.1,689.9
31,Andhra Pradesh,anantapur,2009,kharif,Rice,32226.0,101512.0,3.150003103,49815.0,94615.0,585.3,867.1
33,Andhra Pradesh,anantapur,2010,kharif,Rice,34973.0,102007.0,2.916735768,46899.0,101512.0,853.8,585.3
35,Andhra Pradesh,anantapur,2011,kharif,Rice,37720.0,94531.0,2.506124072,69394.0,102007.0,,853.8
37,Andhra Pradesh,anantapur,2012,kharif,Rice,22056.0,58691.0,2.660999275,25542.0,94531.0,,
39,Andhra Pradesh,anantapur,2013,kharif,Rice,28114.0,59377.0,2.112008252,17768.0,58691.0,,
41,Andhra Pradesh,anantapur,2014,kharif,Rice,22658.0,68155.0,3.007988348,28558.0,59377.0,,
44,Andhra Pradesh,chittoor,1997,kharif,Rice,42300.0,84400.0,1.9952718680000001,,,1032.818,1147.962
46,Andhra Pradesh,chittoor,1998,kharif,Rice,42000.0,105400.0,2.50952381,137400.0,84400.0,981.825,1032.818
48,Andhra Pradesh,chittoor,1999,kharif,Rice,37542.0,75477.0,2.010468276,159200.0,105400.0,792.0830000000001,981.825
50,Andhra Pradesh,chittoor,2000,kharif,Rice,33776.0,89236.0,2.641994315,76800.0,75477.0,926.4680000000001,792.0830000000001
52,Andhra Pradesh,chittoor,2001,kharif,Rice,24377.0,55311.0,2.2689830580000003,97181.0,89236.0,811.87,926.4680000000001
54,Andhra Pradesh,chittoor,2002,kharif,Rice,20137.0,50020.0,2.483984705,170573.0,55311.0,737.5930000000001,811.87
56,Andhra Pradesh,chittoor,2003,kharif,Rice,18495.0,38562.0,2.084995945,76827.0,50020.0,,
58,Andhra Pradesh,chittoor,2004,kharif,Rice,19055.0,43331.0,2.273996326,46714.0,38562.0,,
60,Andhra Pradesh,chittoor,2005,kharif,Rice,16240.0,37173.0,2.288977833,69177.0,43331.0,,
62,Andhra Pradesh,chittoor,2006,kharif,Rice,17049.0,42520.0,2.4939879169999997,193612.0,37173.0,,
64,Andhra Pradesh,chittoor,2007,kharif,Rice,15000.0,42000.0,2.8,85101.0,42520.0,,
66,Andhra Pradesh,chittoor,2008,kharif,Rice,17596.0,46242.0,2.627983633,116000.0,42000.0,,
68,Andhra Pradesh,chittoor,2009,kharif,Rice,19758.0,56192.0,2.8440125519999997,118636.0,46242.0,,
70,Andhra Pradesh,chittoor,2010,kharif,Rice,18019.0,53639.0,2.976802264,113937.0,56192.0,,
72,Andhra Pradesh,chittoor,2011,kharif,Rice,17342.0,55719.0,3.212951217,131502.0,53639.0,,
74,Andhra Pradesh,chittoor,2012,kharif,Rice,12952.0,45241.0,3.492974058,113211.0,55719.0,,
76,Andhra Pradesh,chittoor,2013,kharif,Rice,15206.0,48766.0,3.207023543,126168.0,45241.0,,
78,Andhra Pradesh,chittoor,2014,kharif,Rice,13304.0,44462.0,3.342002405,120249.0,48766.0,,
81,Andhra Pradesh,east godavari,1997,kharif,Rice,214100.0,429300.0,2.005137786,,,1199.981,1292.386
83,Andhra Pradesh,east godavari,1998,kharif,Rice,256300.0,386600.0,1.5083886069999999,491500.0,429300.0,1169.204,1199.981
85,Andhra Pradesh,east godavari,1999,kharif,Rice,244655.0,628606.0,2.569356849,656600.0,386600.0,774.738,1169.204
87,Andhra Pradesh,east godavari,2000,kharif,Rice,253966.0,683423.0,2.691001945,645162.0,628606.0,1264.862,774.738
89,Andhra Pradesh,east godavari,2001,kharif,Rice,220811.0,579850.0,2.626001422,683202.0,683423.0,1012.914,1264.862
91,Andhra Pradesh,east godavari,2002,kharif,Rice,194809.0,551115.0,2.82900174,750150.0,579850.0,788.48,1012.914
93,Andhra Pradesh,east godavari,2003,kharif,Rice,234673.0,762453.0,3.249001803,491906.0,551115.0,,
95,Andhra Pradesh,east godavari,2004,kharif,Rice,224521.0,743614.0,3.312001995,869092.0,762453.0,,
97,Andhra Pradesh,east godavari,2005,kharif,Rice,217411.0,348727.0,1.603998878,766296.0,743614.0,,
99,Andhra Pradesh,east godavari,2006,kharif,Rice,227930.0,547716.0,2.403000921,800927.0,348727.0,,
101,Andhra Pradesh,east godavari,2007,kharif,Rice,242000.0,715000.0,2.954545455,845829.0,547716.0,,
103,Andhra Pradesh,east godavari,2008,kharif,Rice,240231.0,716609.0,2.9829996960000003,803000.0,715000.0,,
105,Andhra Pradesh,east godavari,2009,kharif,Rice,202153.0,616567.0,3.050001731,796648.0,716609.0,,
107,Andhra Pradesh,east godavari,2010,kharif,Rice,237640.0,457704.0,1.9260393869999999,456537.0,616567.0,,
109,Andhra Pradesh,east godavari,2011,kharif,Rice,197445.0,589741.0,2.9868621639999997,849917.0,457704.0,,
111,Andhra Pradesh,east godavari,2012,kharif,Rice,232300.0,355651.0,1.5309987090000001,587084.0,589741.0,,
113,Andhra Pradesh,east godavari,2013,kharif,Rice,235159.0,434104.0,1.846002067,746239.0,355651.0,,
115,Andhra Pradesh,east godavari,2014,kharif,Rice,226072.0,681833.0,3.015999328,777602.0,434104.0,,
118,Andhra Pradesh,guntur,1997,kharif,Rice,295000.0,845300.0,2.8654237289999998,,,926.518,1093.779
120,Andhra Pradesh,guntur,1998,kharif,Rice,298400.0,921400.0,3.0878016089999996,51800.0,845300.0,828.523,926.518
122,Andhra Pradesh,guntur,1999,kharif,Rice,302886.0,969414.0,3.2005903210000004,99900.0,921400.0,547.044,828.523
124,Andhra Pradesh,guntur,2000,kharif,Rice,292899.0,987363.0,3.3710016080000003,53167.0,969414.0,870.5189999999999,547.044
126,Andhra Pradesh,guntur,2001,kharif,Rice,272468.0,935110.0,3.431999354,49600.0,987363.0,793.426,870.5189999999999
128,Andhra Pradesh,guntur,2002,kharif,Rice,202953.0,646811.0,3.18699896,181060.0,935110.0,658.954,793.426
130,Andhra Pradesh,guntur,2003,kharif,Rice,170487.0,482990.0,2.83300193,7385.0,646811.0,,
132,Andhra Pradesh,guntur,2004,kharif,Rice,240404.0,833961.0,3.46899802,16837.0,482990.0,,
134,Andhra Pradesh,guntur,2005,kharif,Rice,288879.0,892636.0,3.089999619,70922.0,833961.0,952.7,759.5
136,Andhra Pradesh,guntur,2006,kharif,Rice,288638.0,783941.0,2.716000665,111559.0,892636.0,852.6,952.7
138,Andhra Pradesh,guntur,2007,kharif,Rice,283000.0,976000.0,3.4487632510000004,100947.0,783941.0,1008.6,852.6
140,Andhra Pradesh,guntur,2008,kharif,Rice,281491.0,959321.0,3.407998835,85000.0,976000.0,964.5,1008.6
142,Andhra Pradesh,guntur,2009,kharif,Rice,190526.0,683226.0,3.5859987610000004,187662.0,959321.0,643.6,964.5
144,Andhra Pradesh,guntur,2010,kharif,Rice,271072.0,649760.0,2.397001535,383423.0,683226.0,1485.1,643.6
146,Andhra Pradesh,guntur,2011,kharif,Rice,281790.0,1080921.0,3.83590972,201806.0,649760.0,,1485.1
148,Andhra Pradesh,guntur,2012,kharif,Rice,174699.0,607778.0,3.479001025,39060.0,1080921.0,,
150,Andhra Pradesh,guntur,2013,kharif,Rice,280060.0,912716.0,3.259001643,29903.0,607778.0,,
152,Andhra Pradesh,guntur,2014,kharif,Rice,255607.0,1000190.0,3.912999253,183288.0,912716.0,,
155,Andhra Pradesh,krishna,1997,kharif,Rice,257900.0,699400.0,2.7119038389999996,,,1095.654,1194.1860000000001
157,Andhra Pradesh,krishna,1998,kharif,Rice,280800.0,759900.0,2.7061965810000004,393500.0,699400.0,916.83,1095.654
159,Andhra Pradesh,krishna,1999,kharif,Rice,278415.0,834490.0,2.9972882210000003,491200.0,759900.0,603.997,916.83
161,Andhra Pradesh,krishna,2000,kharif,Rice,281343.0,868787.0,3.087999346,457596.0,834490.0,1099.234,603.997
163,Andhra Pradesh,krishna,2001,kharif,Rice,245114.0,714507.0,2.914998735,408308.0,868787.0,892.3,1099.234
165,Andhra Pradesh,krishna,2002,kharif,Rice,243910.0,761243.0,3.1209995489999995,358635.0,714507.0,711.715,892.3
167,Andhra Pradesh,krishna,2003,kharif,Rice,222367.0,526565.0,2.367999748,5688.0,761243.0,,
169,Andhra Pradesh,krishna,2004,kharif,Rice,245306.0,804849.0,3.281000057,19359.0,526565.0,,
171,Andhra Pradesh,krishna,2005,kharif,Rice,254919.0,697203.0,2.7349981760000004,31584.0,804849.0,1159.5,886.9
173,Andhra Pradesh,krishna,2006,kharif,Rice,251433.0,521221.0,2.073001555,409399.0,697203.0,1267.3,1159.5
175,Andhra Pradesh,krishna,2007,kharif,Rice,261000.0,944000.0,3.6168582380000003,355638.0,521221.0,979.9,1267.3
177,Andhra Pradesh,krishna,2008,kharif,Rice,273878.0,959395.0,3.503001336,355000.0,944000.0,1303.9,979.9
179,Andhra Pradesh,krishna,2009,kharif,Rice,228196.0,784310.0,3.437001525,467900.0,959395.0,736.1,1303.9
181,Andhra Pradesh,krishna,2010,kharif,Rice,260350.0,722978.0,2.776946418,424984.0,784310.0,1805.2,736.1
183,Andhra Pradesh,krishna,2011,kharif,Rice,262826.0,980105.0,3.7291021439999996,367710.0,722978.0,,1805.2
185,Andhra Pradesh,krishna,2012,kharif,Rice,253166.0,908360.0,3.5880015480000003,31437.0,980105.0,,
187,Andhra Pradesh,krishna,2013,kharif,Rice,264371.0,773285.0,2.924999338,42244.0,908360.0,,
189,Andhra Pradesh,krishna,2014,kharif,Rice,235212.0,788901.0,3.353999796,402236.0,773285.0,,
192,Andhra Pradesh,kurnool,1997,kharif,Rice,66300.0,176900.0,2.6681749619999997,,,624.126,719.927
194,Andhra Pradesh,kurnool,1998,kharif,Rice,75100.0,221700.0,2.952063915,23900.0,176900.0,696.7610000000001,624.126
196,Andhra Pradesh,kurnool,1999,kharif,Rice,81640.0,225431.0,2.761281235,44500.0,221700.0,485.358,696.7610000000001
198,Andhra Pradesh,kurnool,2000,kharif,Rice,93188.0,307427.0,3.298997725,35695.0,225431.0,625.827,485.358
200,Andhra Pradesh,kurnool,2001,kharif,Rice,43617.0,121779.0,2.7920077030000003,38083.0,307427.0,508.366,625.827
202,Andhra Pradesh,kurnool,2002,kharif,Rice,47948.0,100499.0,2.095999833,98534.0,121779.0,456.19,508.366
204,Andhra Pradesh,kurnool,2003,kharif,Rice,34618.0,100635.0,2.907013692,24856.0,100499.0,,
206,Andhra Pradesh,kurnool,2004,kharif,Rice,61465.0,210702.0,3.427999675,11377.0,100635.0,,
208,Andhra Pradesh,kurnool,2005,kharif,Rice,88555.0,292586.0,3.304003162,37549.0,210702.0,838.2,643.5
210,Andhra Pradesh,kurnool,2006,kharif,Rice,80692.0,270238.0,3.3490060969999997,65980.0,292586.0,600.8,838.2
212,Andhra Pradesh,kurnool,2007,kharif,Rice,90000.0,332000.0,3.688888889,36764.0,270238.0,1082.2,600.8
214,Andhra Pradesh,kurnool,2008,kharif,Rice,84066.0,279856.0,3.3290034019999997,51000.0,332000.0,708.6,1082.2
216,Andhra Pradesh,kurnool,2009,kharif,Rice,81908.0,256454.0,3.131000635,97073.0,279856.0,767.9,708.6
218,Andhra Pradesh,kurnool,2010,kharif,Rice,104110.0,291475.0,2.799683028,157911.0,256454.0,823.2,767.9
220,Andhra Pradesh,kurnool,2011,kharif,Rice,91984.0,333882.0,3.6297834410000003,105626.0,291475.0,,823.2
222,Andhra Pradesh,kurnool,2012,kharif,Rice,72625.0,276774.0,3.8110017210000002,46042.0,333882.0,,
224,Andhra Pradesh,kurnool,2013,kharif,Rice,92596.0,340383.0,3.6760011230000003,60102.0,276774.0,,
226,Andhra Pradesh,kurnool,2014,kharif,Rice,91569.0,361514.0,3.9479955010000003,118017.0,340383.0,,
229,Andhra Pradesh,prakasam,1997,kharif,Rice,62000.0,124300.0,2.00483871,,,809.097,1015.1339999999999
231,Andhra Pradesh,prakasam,1998,kharif,Rice,72100.0,206700.0,2.866851595,222100.0,124300.0,750.1610000000001,809.097
233,Andhra Pradesh,prakasam,1999,kharif,Rice,70189.0,190583.0,2.715283022,248900.0,206700.0,537.745,750.1610000000001
235,Andhra Pradesh,prakasam,2000,kharif,Rice,50601.0,156559.0,3.093990237,129541.0,190583.0,729.5269999999999,537.745
237,Andhra Pradesh,prakasam,2001,kharif,Rice,40841.0,134204.0,3.286011606,316840.0,156559.0,714.372,729.5269999999999
239,Andhra Pradesh,prakasam,2002,kharif,Rice,19256.0,46927.0,2.437006647,385888.0,134204.0,616.048,714.372
241,Andhra Pradesh,prakasam,2003,kharif,Rice,14621.0,41992.0,2.8720333769999997,104325.0,46927.0,,
243,Andhra Pradesh,prakasam,2004,kharif,Rice,27435.0,95446.0,3.478986696,79278.0,41992.0,,
245,Andhra Pradesh,prakasam,2005,kharif,Rice,54390.0,144351.0,2.6539988969999997,220491.0,95446.0,958.8,757.8
247,Andhra Pradesh,prakasam,2006,kharif,Rice,41191.0,124809.0,3.030006555,340932.0,144351.0,869.0,958.8
249,Andhra Pradesh,prakasam,2007,kharif,Rice,47000.0,173000.0,3.6808510639999996,297215.0,124809.0,899.8,869.0
251,Andhra Pradesh,prakasam,2008,kharif,Rice,47434.0,167774.0,3.536998777,287000.0,173000.0,937.7,899.8
253,Andhra Pradesh,prakasam,2009,kharif,Rice,32959.0,117730.0,3.5720137139999997,314503.0,167774.0,635.1,937.7
255,Andhra Pradesh,prakasam,2010,kharif,Rice,48878.0,143300.0,2.931789353,371390.0,117730.0,1403.0,635.1
257,Andhra Pradesh,prakasam,2011,kharif,Rice,39122.0,134932.0,3.449005675,376150.0,143300.0,,1403.0
259,Andhra Pradesh,prakasam,2012,kharif,Rice,17820.0,64027.0,3.59298541,292098.0,134932.0,,
261,Andhra Pradesh,prakasam,2013,kharif,Rice,58034.0,213391.0,3.67699969,125959.0,64027.0,,
263,Andhra Pradesh,prakasam,2014,kharif,Rice,31764.0,121783.0,3.833994459,318874.0,213391.0,,
266,Andhra Pradesh,nellore,1997,kharif,Rice,48700.0,127600.0,2.620123203,,,1026.687,1164.337
268,Andhra Pradesh,nellore,1998,kharif,Rice,44700.0,133400.0,2.984340045,544600.0,127600.0,806.2660000000001,1026.687
270,Andhra Pradesh,nellore,1999,kharif,Rice,45768.0,136695.0,2.98669376,542300.0,133400.0,662.429,806.2660000000001
272,Andhra Pradesh,nellore,2000,kharif,Rice,55041.0,171563.0,3.117003688,407231.0,136695.0,792.825,662.429
274,Andhra Pradesh,nellore,2001,kharif,Rice,34297.0,108413.0,3.161005336,367510.0,171563.0,843.2639999999999,792.825
276,Andhra Pradesh,nellore,2002,kharif,Rice,45511.0,149276.0,3.279998242,597352.0,108413.0,746.827,843.2639999999999
278,Andhra Pradesh,nellore,2003,kharif,Rice,17885.0,49756.0,2.7819960860000004,522579.0,149276.0,,
280,Andhra Pradesh,nellore,2004,kharif,Rice,19326.0,56432.0,2.92000414,364368.0,49756.0,,
282,Andhra Pradesh,nellore,2005,kharif,Rice,18036.0,55190.0,3.0599911289999997,576933.0,56432.0,1550.5,1163.4
284,Andhra Pradesh,nellore,2006,kharif,Rice,60057.0,197167.0,3.2829978189999998,713732.0,55190.0,862.7,1550.5
286,Andhra Pradesh,nellore,2007,kharif,Rice,46000.0,162000.0,3.52173913,659617.0,197167.0,1285.8,862.7
288,Andhra Pradesh,nellore,2008,kharif,Rice,65233.0,233795.0,3.583998896,695000.0,162000.0,1102.3,1285.8
290,Andhra Pradesh,nellore,2009,kharif,Rice,67894.0,220248.0,3.2439979969999997,763003.0,233795.0,905.6,1102.3
292,Andhra Pradesh,nellore,2010,kharif,Rice,69873.0,228485.0,3.27000415,783833.0,220248.0,1416.2,905.6
294,Andhra Pradesh,nellore,2011,kharif,Rice,53137.0,195269.0,3.6748216869999997,777027.0,228485.0,,1416.2
296,Andhra Pradesh,nellore,2012,kharif,Rice,53866.0,214710.0,3.9860023019999997,836157.0,195269.0,,
298,Andhra Pradesh,nellore,2013,kharif,Rice,32241.0,115455.0,3.580999349,811721.0,214710.0,,
300,Andhra Pradesh,nellore,2014,kharif,Rice,62232.0,232561.0,3.737000257,795653.0,115455.0,,
303,Andhra Pradesh,srikakulam,1997,kharif,Rice,185700.0,278500.0,1.499730749,,,889.694,992.15
305,Andhra Pradesh,srikakulam,1998,kharif,Rice,194400.0,370700.0,1.906893004,2100.0,278500.0,1302.844,889.694
307,Andhra Pradesh,srikakulam,1999,kharif,Rice,189027.0,323525.0,1.711527983,7500.0,370700.0,792.555,1302.844
309,Andhra Pradesh,srikakulam,2000,kharif,Rice,207461.0,399155.0,1.9240001740000001,5867.0,323525.0,843.453,792.555
311,Andhra Pradesh,srikakulam,2001,kharif,Rice,178771.0,393654.0,2.2020014430000003,2012.0,399155.0,940.191,843.453
313,Andhra Pradesh,srikakulam,2002,kharif,Rice,153148.0,267550.0,1.7470028990000002,3594.0,393654.0,743.58,940.191
315,Andhra Pradesh,srikakulam,2003,kharif,Rice,188219.0,421799.0,2.241001174,1602.0,267550.0,,
317,Andhra Pradesh,srikakulam,2004,kharif,Rice,190795.0,448561.0,2.351010247,4496.0,421799.0,,
319,Andhra Pradesh,srikakulam,2005,kharif,Rice,153521.0,271425.0,1.7679991659999998,5743.0,448561.0,1155.5,1042.8
321,Andhra Pradesh,srikakulam,2006,kharif,Rice,193994.0,491775.0,2.535001083,10105.0,271425.0,1358.5,1155.5
323,Andhra Pradesh,srikakulam,2007,kharif,Rice,201000.0,613000.0,3.049751244,7223.0,491775.0,1213.6,1358.5
325,Andhra Pradesh,srikakulam,2008,kharif,Rice,203172.0,408376.0,2.010001378,6000.0,613000.0,1047.9,1213.6
327,Andhra Pradesh,srikakulam,2009,kharif,Rice,177058.0,371822.0,2.10000113,6190.0,408376.0,874.3,1047.9
329,Andhra Pradesh,srikakulam,2010,kharif,Rice,205853.0,167482.0,0.813599996,6407.0,371822.0,1700.5,874.3
331,Andhra Pradesh,srikakulam,2011,kharif,Rice,208239.0,399240.0,1.9172201169999998,16822.0,167482.0,,1700.5
333,Andhra Pradesh,srikakulam,2012,kharif,Rice,205859.0,520823.0,2.529998688,4593.0,399240.0,,
335,Andhra Pradesh,srikakulam,2013,kharif,Rice,199717.0,347108.0,1.7379992690000001,7870.0,520823.0,,
337,Andhra Pradesh,srikakulam,2014,kharif,Rice,205485.0,434806.0,2.115998735,8158.0,347108.0,,
340,Andhra Pradesh,visakhapatnam,1997,kharif,Rice,95600.0,79700.0,0.8336820079999999,,,,
342,Andhra Pradesh,visakhapatnam,1998,kharif,Rice,114900.0,141300.0,1.229765013,8700.0,79700.0,,
344,Andhra Pradesh,visakhapatnam,1999,kharif,Rice,103372.0,134010.0,1.296385869,14100.0,141300.0,,
346,Andhra Pradesh,visakhapatnam,2000,kharif,Rice,115239.0,183345.0,1.5909978390000001,10836.0,134010.0,,
348,Andhra Pradesh,visakhapatnam,2001,kharif,Rice,86579.0,145020.0,1.6750020209999998,6683.0,183345.0,,
350,Andhra Pradesh,visakhapatnam,2002,kharif,Rice,61964.0,61344.0,0.98999419,7589.0,145020.0,,
352,Andhra Pradesh,visakhapatnam,2003,kharif,Rice,84676.0,136836.0,1.615995087,3121.0,61344.0,,
354,Andhra Pradesh,visakhapatnam,2004,kharif,Rice,95187.0,160771.0,1.6890016490000002,7811.0,136836.0,,
356,Andhra Pradesh,visakhapatnam,2005,kharif,Rice,84808.0,125007.0,1.474000094,3701.0,160771.0,,
358,Andhra Pradesh,visakhapatnam,2006,kharif,Rice,93133.0,178070.0,1.9119968219999999,7073.0,125007.0,,
360,Andhra Pradesh,visakhapatnam,2007,kharif,Rice,96000.0,195000.0,2.03125,5301.0,178070.0,,
362,Andhra Pradesh,visakhapatnam,2008,kharif,Rice,99378.0,167253.0,1.6829982490000002,6000.0,195000.0,,
364,Andhra Pradesh,visakhapatnam,2009,kharif,Rice,65447.0,69112.0,1.055999511,5090.0,167253.0,,
366,Andhra Pradesh,visakhapatnam,2010,kharif,Rice,110289.0,192378.0,1.744308136,4509.0,69112.0,,
368,Andhra Pradesh,visakhapatnam,2011,kharif,Rice,109505.0,166766.0,1.52290763,9383.0,192378.0,,
370,Andhra Pradesh,visakhapatnam,2012,kharif,Rice,98718.0,141562.0,1.43400393,2973.0,166766.0,,
372,Andhra Pradesh,visakhapatnam,2013,kharif,Rice,98637.0,171530.0,1.739002606,10274.0,141562.0,,
374,Andhra Pradesh,visakhapatnam,2014,kharif,Rice,98190.0,159755.0,1.626998676,13126.0,171530.0,,
377,Andhra Pradesh,vizianagaram,1997,kharif,Rice,130500.0,185600.0,1.4222222219999998,,,1013.824,1107.962
379,Andhra Pradesh,vizianagaram,1998,kharif,Rice,133000.0,295600.0,2.222556391,3200.0,185600.0,1421.185,1013.824
381,Andhra Pradesh,vizianagaram,1999,kharif,Rice,132185.0,250846.0,1.897688845,13300.0,295600.0,921.461,1421.185
383,Andhra Pradesh,vizianagaram,2000,kharif,Rice,129907.0,214347.0,1.650003464,6943.0,250846.0,1010.49,921.461
385,Andhra Pradesh,vizianagaram,2001,kharif,Rice,106296.0,199624.0,1.878001054,5996.0,214347.0,1082.915,1010.49
387,Andhra Pradesh,vizianagaram,2002,kharif,Rice,93995.0,115426.0,1.2280014890000002,10085.0,199624.0,874.955,1082.915
389,Andhra Pradesh,vizianagaram,2003,kharif,Rice,108694.0,228366.0,2.100999135,1558.0,115426.0,,
391,Andhra Pradesh,vizianagaram,2004,kharif,Rice,125205.0,291352.0,2.32699972,10679.0,228366.0,,
393,Andhra Pradesh,vizianagaram,2005,kharif,Rice,94336.0,131127.0,1.389999576,3979.0,291352.0,1336.5,1034.5
395,Andhra Pradesh,vizianagaram,2006,kharif,Rice,117452.0,281532.0,2.39699622,9529.0,131127.0,1273.4,1336.5
397,Andhra Pradesh,vizianagaram,2007,kharif,Rice,124000.0,362000.0,2.919354839,1803.0,281532.0,1224.7,1273.4
399,Andhra Pradesh,vizianagaram,2008,kharif,Rice,128964.0,307966.0,2.387999752,7000.0,362000.0,1069.3,1224.7
401,Andhra Pradesh,vizianagaram,2009,kharif,Rice,104550.0,229801.0,2.198000956,4043.0,307966.0,1032.4,1069.3
403,Andhra Pradesh,vizianagaram,2010,kharif,Rice,126290.0,325213.0,2.575128672,9285.0,229801.0,1647.9,1032.4
405,Andhra Pradesh,vizianagaram,2011,kharif,Rice,123491.0,265106.0,2.1467637319999997,23452.0,325213.0,,1647.9
407,Andhra Pradesh,vizianagaram,2012,kharif,Rice,119079.0,306509.0,2.573997094,2639.0,265106.0,,
409,Andhra Pradesh,vizianagaram,2013,kharif,Rice,109271.0,270446.0,2.475002517,14310.0,306509.0,,
411,Andhra Pradesh,vizianagaram,2014,kharif,Rice,119229.0,314526.0,2.637999145,20479.0,270446.0,,
414,Andhra Pradesh,west godavari,1997,kharif,Rice,247200.0,630400.0,2.550161812,,,1188.838,1252.4160000000002
416,Andhra Pradesh,west godavari,1998,kharif,Rice,262000.0,646400.0,2.467175573,678100.0,630400.0,1029.969,1188.838
418,Andhra Pradesh,west godavari,1999,kharif,Rice,267083.0,685440.0,2.566393219,849100.0,646400.0,695.12,1029.969
420,Andhra Pradesh,west godavari,2000,kharif,Rice,272901.0,794415.0,2.911000693,780930.0,685440.0,1254.92,695.12
422,Andhra Pradesh,west godavari,2001,kharif,Rice,222720.0,576622.0,2.588999641,858462.0,794415.0,962.206,1254.92
424,Andhra Pradesh,west godavari,2002,kharif,Rice,214554.0,659110.0,3.0720005219999997,896509.0,576622.0,748.5880000000001,962.206
426,Andhra Pradesh,west godavari,2003,kharif,Rice,232235.0,812590.0,3.498998859,506579.0,659110.0,,
428,Andhra Pradesh,west godavari,2004,kharif,Rice,244235.0,842122.0,3.4479988539999997,867133.0,812590.0,,
430,Andhra Pradesh,west godavari,2005,kharif,Rice,253521.0,475859.0,1.877000327,807446.0,842122.0,1212.6,833.0
432,Andhra Pradesh,west godavari,2006,kharif,Rice,245236.0,682001.0,2.780998711,887411.0,475859.0,1092.7,1212.6
434,Andhra Pradesh,west godavari,2007,kharif,Rice,254000.0,825000.0,3.2480314960000003,875107.0,682001.0,1139.0,1092.7
436,Andhra Pradesh,west godavari,2008,kharif,Rice,255444.0,778593.0,3.047998779,814000.0,825000.0,1234.1,1139.0
438,Andhra Pradesh,west godavari,2009,kharif,Rice,212887.0,660163.0,3.10100194,821789.0,778593.0,753.1,1234.1
440,Andhra Pradesh,west godavari,2010,kharif,Rice,256147.0,558800.0,2.1815598069999997,454893.0,660163.0,1900.7,753.1
442,Andhra Pradesh,west godavari,2011,kharif,Rice,240266.0,764242.0,3.180816262,931515.0,558800.0,,1900.7
444,Andhra Pradesh,west godavari,2012,kharif,Rice,242832.0,482993.0,1.989000626,544225.0,764242.0,,
446,Andhra Pradesh,west godavari,2013,kharif,Rice,240396.0,521419.0,2.169000316,806377.0,482993.0,,
448,Andhra Pradesh,west godavari,2014,kharif,Rice,231475.0,733313.0,3.1680008639999997,820916.0,521419.0,,
451,Arunachal Pradesh,anjaw,2004,kharif,Rice,3342.0,1914.0,0.572710952,,,,
452,Arunachal Pradesh,anjaw,2005,kharif,Rice,3400.0,5000.0,1.470588235,1914.0,,,
453,Arunachal Pradesh,anjaw,2006,kharif,Rice,4060.0,3004.0,0.739901478,5000.0,1914.0,,
454,Arunachal Pradesh,anjaw,2007,kharif,Rice,4085.0,2530.0,0.619339045,3004.0,5000.0,,
455,Arunachal Pradesh,anjaw,2008,kharif,Rice,3901.0,2516.0,0.64496283,2530.0,3004.0,,
456,Arunachal Pradesh,anjaw,2009,kharif,Rice,3945.0,2355.33,0.597041825,2516.0,2530.0,,
457,Arunachal Pradesh,anjaw,2010,kharif,Rice,3949.0,3631.0,0.9194732840000001,2355.33,2516.0,,
