,State_Name,ind_district,Crop_Year,Season,Crop,Area,Production,phosphorus,X1,X2,X3,X4
1541,Himachal Pradesh,kangra,2007,kharif,Rice,37121,53986,0,54148,50934,1610,1766.6
1542,Himachal Pradesh,kangra,2008,kharif,Rice,36855,55836,0,53986,54148,1805.3,1610
1543,Himachal Pradesh,kangra,2010,kharif,Rice,37611,59209,0,55836,53986,1611.2,1209.9
1551,Himachal Pradesh,kinnaur,2005,kharif,Rice,22,31,2,43,40,643.8,255.9
1552,Himachal Pradesh,kinnaur,2006,kharif,Rice,28,44,2,31,43,333.6,643.8
1553,Himachal Pradesh,kinnaur,2007,kharif,Rice,13,20,2,44,31,628.5,333.6
1554,Himachal Pradesh,kinnaur,2008,kharif,Rice,16,24,2,20,44,735.1,628.5
1555,Himachal Pradesh,kinnaur,2010,kharif,Rice,15,25,2,24,20,1069.8,572
1575,Himachal Pradesh,mandi,2005,kharif,Rice,20276,29167,0,25275,28981,1264.4,1170.1
1576,Himachal Pradesh,mandi,2006,kharif,Rice,19566,27068,0,29167,25275,1265.2,1264.4
1577,Himachal Pradesh,mandi,2007,kharif,Rice,19469,25002,0,27068,29167,1472.3,1265.2
1578,Himachal Pradesh,mandi,2008,kharif,Rice,20171,27410,0,25002,27068,1300.5,1472.3
1579,Himachal Pradesh,mandi,2010,kharif,Rice,19481,30528,0,27410,25002,1483.6,965.2
1611,Himachal Pradesh,solan,2005,kharif,Rice,4721,8283,1,10401,7866,950.7,813.1
1612,Himachal Pradesh,solan,2006,kharif,Rice,4634,10968,1,8283,10401,974.6,950.7
1613,Himachal Pradesh,solan,2007,kharif,Rice,4351,10126,1,10968,8283,1173.8,974.6
1614,Himachal Pradesh,solan,2008,kharif,Rice,4260,10565,1,10126,10968,1492.1,1173.8
1615,Himachal Pradesh,solan,2010,kharif,Rice,2094,5166,1,10565,10126,1377.3,882.1
1623,Himachal Pradesh,una,2005,kharif,Rice,2019,3311,0,3572,4633,1217.4,1108.4
1624,Himachal Pradesh,una,2006,kharif,Rice,1976,4464,0,3311,3572,1308.5,1217.4
1625,Himachal Pradesh,una,2007,kharif,Rice,2023,4651,0,4464,3311,1244.3,1308.5
1626,Himachal Pradesh,una,2008,kharif,Rice,1803,4029,0,4651,4464,1471.5,1244.3
1627,Himachal Pradesh,una,2010,kharif,Rice,1919,5277,0,4029,4651,1182.3,1212.2
3999,Punjab,amritsar,2005,kharif,Rice,345000,1003000,2,1034000,872000,693.4,381.6
4000,Punjab,amritsar,2006,kharif,Rice,178000,538000,2,1003000,1034000,957.5,693.4
4001,Punjab,amritsar,2007,kharif,Rice,178000,546000,2,538000,1003000,575,957.5
4002,Punjab,amritsar,2008,kharif,Rice,183000,532000,2,546000,538000,869.3,575
4003,Punjab,amritsar,2009,kharif,Rice,185000,501000,2,532000,546000,276.4,869.3
4004,Punjab,amritsar,2010,kharif,Rice,186000,503000,2,501000,532000,478.8,276.4
4046,Punjab,faridkot,2008,kharif,Rice,95000,414000,1,351000,338000,359.4,366.8
