,State_Name,ind_district,Crop_Year,Season,Crop,Area,Production,Value,X1,X2
380,Rajasthan,banswara,2007,kharif,Rice,35853,46686.0,1.302150448,18756.0,21774.0
381,Rajasthan,banswara,2008,kharif,Rice,31530,12376.0,0.392515065,46686.0,18756.0
382,Rajasthan,banswara,2009,kharif,Rice,28142,11416.0,0.405657025,12376.0,46686.0
383,Rajasthan,banswara,2010,kharif,Rice,27027,17610.0,0.651570652,11416.0,12376.0
386,Rajasthan,bharatpur,2004,kharif,Rice,1354,1206.0,0.890694239,2428.0,306.0
387,Rajasthan,bharatpur,2005,kharif,Rice,3368,7351.0,2.18260095,1206.0,2428.0
388,Rajasthan,bharatpur,2006,kharif,Rice,878,638.0,0.726651481,7351.0,1206.0
389,Rajasthan,bharatpur,2007,kharif,Rice,684,1114.0,1.628654971,638.0,7351.0
390,Rajasthan,bharatpur,2008,kharif,Rice,2281,2766.0,1.212626041,1114.0,638.0
391,Rajasthan,bharatpur,2009,kharif,Rice,1865,3303.0,1.771045576,2766.0,1114.0
392,Rajasthan,bharatpur,2010,kharif,Rice,1536,3095.0,2.014973958,3303.0,2766.0
395,Rajasthan,bhilwara,2004,kharif,Rice,241,358.0,1.485477178,314.0,197.0
396,Rajasthan,bhilwara,2005,kharif,Rice,288,423.0,1.46875,358.0,314.0
397,Rajasthan,bhilwara,2006,kharif,Rice,207,326.0,1.574879227,423.0,358.0
398,Rajasthan,bhilwara,2007,kharif,Rice,247,502.0,2.032388664,326.0,423.0
399,Rajasthan,bhilwara,2008,kharif,Rice,278,502.0,1.805755396,502.0,326.0
400,Rajasthan,bhilwara,2009,kharif,Rice,430,651.0,1.513953488,502.0,502.0
401,Rajasthan,bhilwara,2010,kharif,Rice,392,794.0,2.025510204,651.0,502.0
404,Rajasthan,bikaner,2004,kharif,Rice,17,25.0,1.470588235,21.0,4.0
405,Rajasthan,bikaner,2005,kharif,Rice,17,25.0,1.470588235,25.0,21.0
406,Rajasthan,bikaner,2006,kharif,Rice,7,11.0,1.571428571,25.0,25.0
407,Rajasthan,bikaner,2007,kharif,Rice,1,2.0,2.0,11.0,25.0
408,Rajasthan,bikaner,2008,kharif,Rice,179,323.0,1.804469274,2.0,11.0
409,Rajasthan,bikaner,2009,kharif,Rice,63,95.0,1.507936508,323.0,2.0
410,Rajasthan,bikaner,2010,kharif,Rice,37,75.0,2.027027027,95.0,323.0
413,Rajasthan,bundi,2004,kharif,Rice,6053,11200.0,1.850322154,14763.0,3965.0
414,Rajasthan,bundi,2005,kharif,Rice,8788,12485.0,1.420687301,11200.0,14763.0
415,Rajasthan,bundi,2006,kharif,Rice,9421,16208.0,1.720411846,12485.0,11200.0
416,Rajasthan,bundi,2007,kharif,Rice,16967,39552.0,2.331113338,16208.0,12485.0
417,Rajasthan,bundi,2008,kharif,Rice,24506,45335.0,1.849955113,39552.0,16208.0
418,Rajasthan,bundi,2009,kharif,Rice,36145,31357.0,0.867533545,45335.0,39552.0
419,Rajasthan,bundi,2010,kharif,Rice,22898,42971.0,1.87662678,31357.0,45335.0
422,Rajasthan,dholpur,2004,kharif,Rice,647,960.0,1.483771252,1287.0,510.0
423,Rajasthan,dholpur,2005,kharif,Rice,837,1228.0,1.467144564,960.0,1287.0
424,Rajasthan,dholpur,2006,kharif,Rice,536,845.0,1.576492537,1228.0,960.0
425,Rajasthan,dholpur,2007,kharif,Rice,484,983.0,2.030991736,845.0,1228.0
426,Rajasthan,dholpur,2008,kharif,Rice,574,1037.0,1.806620209,983.0,845.0
427,Rajasthan,dholpur,2009,kharif,Rice,569,862.0,1.514938489,1037.0,983.0
428,Rajasthan,dholpur,2010,kharif,Rice,679,1375.0,2.025036819,862.0,1037.0
431,Rajasthan,dungarpur,2004,kharif,Rice,25153,20267.0,0.805748817,20126.0,1400.0
432,Rajasthan,dungarpur,2005,kharif,Rice,21879,7234.0,0.330636684,20267.0,20126.0
433,Rajasthan,dungarpur,2006,kharif,Rice,27161,18171.0,0.669010714,7234.0,20267.0
434,Rajasthan,dungarpur,2007,kharif,Rice,29975,39241.0,1.30912427,18171.0,7234.0
435,Rajasthan,dungarpur,2008,kharif,Rice,14842,3288.0,0.221533486,39241.0,18171.0
436,Rajasthan,dungarpur,2009,kharif,Rice,13961,5060.0,0.362438221,3288.0,39241.0
437,Rajasthan,dungarpur,2010,kharif,Rice,13727,9058.0,0.659867415,5060.0,3288.0
440,Rajasthan,ganganagar,2004,kharif,Rice,2383,5741.0,2.409148133,10259.0,5222.0
441,Rajasthan,ganganagar,2005,kharif,Rice,2897,4681.0,1.615809458,5741.0,10259.0
442,Rajasthan,ganganagar,2006,kharif,Rice,2779,8825.0,3.175602735,4681.0,5741.0
443,Rajasthan,ganganagar,2007,kharif,Rice,3581,13166.0,3.676626641,8825.0,4681.0
444,Rajasthan,ganganagar,2008,kharif,Rice,6422,16143.0,2.513702896,13166.0,8825.0
445,Rajasthan,ganganagar,2009,kharif,Rice,8740,23388.0,2.67597254,16143.0,13166.0
446,Rajasthan,ganganagar,2010,kharif,Rice,8026,20046.0,2.497632694,23388.0,16143.0
449,Rajasthan,jhalawar,2004,kharif,Rice,446,662.0,1.484304933,755.0,290.0
450,Rajasthan,jhalawar,2005,kharif,Rice,719,1055.0,1.467315716,662.0,755.0
451,Rajasthan,jhalawar,2006,kharif,Rice,720,1135.0,1.576388889,1055.0,662.0
452,Rajasthan,jhalawar,2007,kharif,Rice,1176,2389.0,2.031462585,1135.0,1055.0
453,Rajasthan,jhalawar,2008,kharif,Rice,1679,3034.0,1.807027993,2389.0,1135.0
454,Rajasthan,jhalawar,2009,kharif,Rice,2397,3631.0,1.514810179,3034.0,2389.0
455,Rajasthan,jhalawar,2010,kharif,Rice,2294,5858.0,2.553618134,3631.0,3034.0
458,Rajasthan,kota,2004,kharif,Rice,5018,10791.0,2.15045835,9997.0,5741.0
459,Rajasthan,kota,2005,kharif,Rice,6642,15606.0,2.349593496,10791.0,9997.0
460,Rajasthan,kota,2006,kharif,Rice,6505,17751.0,2.728823982,15606.0,10791.0
461,Rajasthan,kota,2007,kharif,Rice,8402,20645.0,2.457153059,17751.0,15606.0
462,Rajasthan,kota,2008,kharif,Rice,12011,36786.0,3.062692532,20645.0,17751.0
463,Rajasthan,kota,2009,kharif,Rice,17348,37733.0,2.175063408,36786.0,20645.0
464,Rajasthan,kota,2010,kharif,Rice,13974,38259.0,2.737870331,37733.0,36786.0
467,Rajasthan,pratapgarh,2010,kharif,Rice,1324,2681.0,2.024924471,2318.0,2765.0
470,Rajasthan,sawai madhopur,2004,kharif,Rice,143,212.0,1.482517483,261.0,14.0
471,Rajasthan,sawai madhopur,2005,kharif,Rice,210,308.0,1.466666667,212.0,261.0
472,Rajasthan,sawai madhopur,2006,kharif,Rice,27,42.0,1.555555556,308.0,212.0
473,Rajasthan,sawai madhopur,2007,kharif,Rice,49,99.0,2.020408163,42.0,308.0
474,Rajasthan,sawai madhopur,2008,kharif,Rice,64,116.0,1.8125,99.0,42.0
475,Rajasthan,sawai madhopur,2009,kharif,Rice,103,156.0,1.514563107,116.0,99.0
476,Rajasthan,sawai madhopur,2010,kharif,Rice,646,1308.0,2.024767802,156.0,116.0
479,Rajasthan,sirohi,2004,kharif,Rice,1,2.0,2.0,10.0,2.0
480,Rajasthan,sirohi,2005,kharif,Rice,1,2.0,2.0,2.0,10.0
481,Rajasthan,sirohi,2006,kharif,Rice,7,11.0,1.571428571,2.0,2.0
482,Rajasthan,sirohi,2007,kharif,Rice,3,6.0,2.0,11.0,2.0
483,Rajasthan,sirohi,2008,kharif,Rice,3,5.0,1.666666667,6.0,11.0
486,Rajasthan,tonk,2004,kharif,Rice,5,8.0,1.6,8.0,8.0
487,Rajasthan,tonk,2005,kharif,Rice,4,6.0,1.5,8.0,8.0
488,Rajasthan,tonk,2009,kharif,Rice,7,11.0,1.571428571,6.0,8.0
489,Rajasthan,tonk,2010,kharif,Rice,2,4.0,2.0,11.0,6.0
492,Rajasthan,udaipur,2004,kharif,Rice,5564,4165.0,0.748562185,6070.0,880.0
493,Rajasthan,udaipur,2005,kharif,Rice,5785,4477.0,0.773898012,4165.0,6070.0
494,Rajasthan,udaipur,2006,kharif,Rice,6175,5725.0,0.927125506,4477.0,4165.0
495,Rajasthan,udaipur,2007,kharif,Rice,5759,4256.0,0.73901719,5725.0,4477.0
496,Rajasthan,udaipur,2008,kharif,Rice,3689,2013.0,0.545676335,4256.0,5725.0
497,Rajasthan,udaipur,2009,kharif,Rice,4253,2594.0,0.609922408,2013.0,4256.0
498,Rajasthan,udaipur,2010,kharif,Rice,4881,5269.0,1.079491907,2594.0,2013.0
501,Uttar Pradesh,agra,2004,kharif,Rice,1097,2575.0,2.347310848,1436.0,1900.0
502,Uttar Pradesh,agra,2005,kharif,Rice,1021,2314.0,2.266405485,2575.0,1436.0
503,Uttar Pradesh,agra,2006,kharif,Rice,1086,2056.0,1.893186004,2314.0,2575.0
504,Uttar Pradesh,agra,2007,kharif,Rice,1395,2763.0,1.980645161,2056.0,2314.0
505,Uttar Pradesh,agra,2008,kharif,Rice,4176,9183.0,2.198994253,2763.0,2056.0
506,Uttar Pradesh,agra,2009,kharif,Rice,4816,8467.0,1.758098007,9183.0,2763.0
507,Uttar Pradesh,agra,2010,kharif,Rice,4342,9413.0,2.167894979,8467.0,9183.0
510,Uttar Pradesh,aligarh,2004,kharif,Rice,38381,86421.0,2.251660978,63252.0,45992.0
511,Uttar Pradesh,aligarh,2005,kharif,Rice,36832,76868.0,2.086989574,86421.0,63252.0
512,Uttar Pradesh,aligarh,2006,kharif,Rice,38447,79239.0,2.060993055,76868.0,86421.0
513,Uttar Pradesh,aligarh,2007,kharif,Rice,47382,95096.0,2.00700688,79239.0,76868.0
514,Uttar Pradesh,aligarh,2008,kharif,Rice,47544,102410.0,2.154004711,95096.0,79239.0
515,Uttar Pradesh,aligarh,2009,kharif,Rice,66448,115088.0,1.732000963,102410.0,95096.0
516,Uttar Pradesh,aligarh,2010,kharif,Rice,64485,131614.0,2.041001783,115088.0,102410.0
519,Uttar Pradesh,allahabad,2004,kharif,Rice,162912,291720.0,1.790659988,408380.0,315023.0
520,Uttar Pradesh,allahabad,2005,kharif,Rice,187745,378494.0,2.016000426,291720.0,408380.0
521,Uttar Pradesh,allahabad,2006,kharif,Rice,162136,342918.0,2.11500222,378494.0,291720.0
522,Uttar Pradesh,allahabad,2007,kharif,Rice,165636,356449.0,2.15200198,342918.0,378494.0
523,Uttar Pradesh,allahabad,2008,kharif,Rice,185494,453347.0,2.443998189,356449.0,342918.0
524,Uttar Pradesh,allahabad,2009,kharif,Rice,105361,228633.0,2.169996488,453347.0,356449.0
525,Uttar Pradesh,allahabad,2010,kharif,Rice,141316,328560.0,2.325002123,228633.0,453347.0
529,Uttar Pradesh,azamgarh,2004,kharif,Rice,212127,187398.0,0.883423609,417537.0,303911.0
530,Uttar Pradesh,azamgarh,2005,kharif,Rice,201562,353338.0,1.752999077,187398.0,417537.0
531,Uttar Pradesh,azamgarh,2006,kharif,Rice,207566,304914.0,1.468997813,353338.0,187398.0
532,Uttar Pradesh,azamgarh,2007,kharif,Rice,215737,416372.0,1.9299981,304914.0,353338.0
533,Uttar Pradesh,azamgarh,2008,kharif,Rice,213081,419343.0,1.967998085,416372.0,304914.0
534,Uttar Pradesh,azamgarh,2009,kharif,Rice,190222,332128.0,1.74600204,419343.0,416372.0
535,Uttar Pradesh,azamgarh,2010,kharif,Rice,203577,417536.0,2.050997903,332128.0,419343.0
538,Uttar Pradesh,bahraich,2004,kharif,Rice,159114,291375.0,1.831234209,291867.0,224311.0
539,Uttar Pradesh,bahraich,2005,kharif,Rice,157629,296815.0,1.882997418,291375.0,291867.0
540,Uttar Pradesh,bahraich,2006,kharif,Rice,153920,254892.0,1.656003119,296815.0,291375.0
541,Uttar Pradesh,bahraich,2007,kharif,Rice,163515,302339.0,1.848998563,254892.0,296815.0
542,Uttar Pradesh,bahraich,2008,kharif,Rice,159350,312804.0,1.962999686,302339.0,254892.0
543,Uttar Pradesh,bahraich,2009,kharif,Rice,160636,323039.0,2.011000025,312804.0,302339.0
544,Uttar Pradesh,bahraich,2010,kharif,Rice,159111,329519.0,2.071000748,323039.0,312804.0
547,Uttar Pradesh,ballia,2004,kharif,Rice,120195,64687.0,0.538183785,219624.0,167845.0
548,Uttar Pradesh,ballia,2005,kharif,Rice,122495,179210.0,1.46299849,64687.0,219624.0
549,Uttar Pradesh,ballia,2006,kharif,Rice,119243,159309.0,1.336002952,179210.0,64687.0
550,Uttar Pradesh,ballia,2007,kharif,Rice,118660,220114.0,1.854997472,159309.0,179210.0
551,Uttar Pradesh,ballia,2008,kharif,Rice,123485,242401.0,1.962999555,220114.0,159309.0
552,Uttar Pradesh,ballia,2009,kharif,Rice,82351,89433.0,1.085997741,242401.0,220114.0
553,Uttar Pradesh,ballia,2010,kharif,Rice,108568,206931.0,1.906003611,89433.0,242401.0
556,Uttar Pradesh,banda,2004,kharif,Rice,64353,75917.0,1.179696362,71378.0,47473.0
557,Uttar Pradesh,banda,2005,kharif,Rice,14460,11929.0,0.824965422,75917.0,71378.0
558,Uttar Pradesh,banda,2006,kharif,Rice,57838,51129.0,0.884003596,11929.0,75917.0
559,Uttar Pradesh,banda,2007,kharif,Rice,28577,17975.0,0.629002345,51129.0,11929.0
560,Uttar Pradesh,banda,2008,kharif,Rice,56371,80949.0,1.436004328,17975.0,51129.0
561,Uttar Pradesh,banda,2009,kharif,Rice,30889,32650.0,1.057010586,80949.0,17975.0
562,Uttar Pradesh,banda,2010,kharif,Rice,47536,54761.0,1.151990071,32650.0,80949.0
565,Uttar Pradesh,barabanki,2004,kharif,Rice,186987,461762.0,2.469487184,415220.0,310333.0
566,Uttar Pradesh,barabanki,2005,kharif,Rice,179338,416602.0,2.32299903,461762.0,415220.0
567,Uttar Pradesh,barabanki,2006,kharif,Rice,182527,376553.0,2.062998899,416602.0,461762.0
568,Uttar Pradesh,barabanki,2007,kharif,Rice,195339,294767.0,1.509002299,376553.0,416602.0
569,Uttar Pradesh,barabanki,2008,kharif,Rice,161107,331397.0,2.056999386,294767.0,376553.0
570,Uttar Pradesh,barabanki,2009,kharif,Rice,172786,399827.0,2.314001134,331397.0,294767.0
571,Uttar Pradesh,barabanki,2010,kharif,Rice,176864,420936.0,2.379998191,399827.0,331397.0
574,Uttar Pradesh,bareilly,2004,kharif,Rice,187526,359792.0,1.918624617,338695.0,229487.0
575,Uttar Pradesh,bareilly,2005,kharif,Rice,159862,301819.0,1.887997148,359792.0,338695.0
576,Uttar Pradesh,bareilly,2006,kharif,Rice,187526,335484.0,1.788999925,301819.0,359792.0
577,Uttar Pradesh,bareilly,2007,kharif,Rice,151272,292711.0,1.934997885,335484.0,301819.0
578,Uttar Pradesh,bareilly,2008,kharif,Rice,186648,326447.0,1.748998114,292711.0,335484.0
579,Uttar Pradesh,bareilly,2009,kharif,Rice,149116,266321.0,1.78599882,326447.0,292711.0
580,Uttar Pradesh,bareilly,2010,kharif,Rice,163015,270279.0,1.658000797,266321.0,326447.0
583,Uttar Pradesh,basti,2004,kharif,Rice,118438,176170.0,1.487444908,263294.0,133227.0
584,Uttar Pradesh,basti,2005,kharif,Rice,118834,197502.0,1.661999091,176170.0,263294.0
585,Uttar Pradesh,basti,2006,kharif,Rice,109692,165525.0,1.508997921,197502.0,176170.0
586,Uttar Pradesh,basti,2007,kharif,Rice,114107,210984.0,1.849001376,165525.0,197502.0
587,Uttar Pradesh,basti,2008,kharif,Rice,111663,223884.0,2.004997179,210984.0,165525.0
588,Uttar Pradesh,basti,2009,kharif,Rice,108375,231056.0,2.132004614,223884.0,210984.0
589,Uttar Pradesh,basti,2010,kharif,Rice,102314,215473.0,2.105997224,231056.0,223884.0
592,Uttar Pradesh,bijnor,2004,kharif,Rice,61346,175022.0,2.853030352,142603.0,141933.0
593,Uttar Pradesh,bijnor,2005,kharif,Rice,53816,140567.0,2.611992716,175022.0,142603.0
594,Uttar Pradesh,bijnor,2006,kharif,Rice,61346,158641.0,2.586003977,140567.0,175022.0
595,Uttar Pradesh,bijnor,2007,kharif,Rice,60515,157763.0,2.607006527,158641.0,140567.0
596,Uttar Pradesh,bijnor,2008,kharif,Rice,52426,131747.0,2.513008812,157763.0,158641.0
597,Uttar Pradesh,bijnor,2009,kharif,Rice,49403,118024.0,2.389004716,131747.0,157763.0
598,Uttar Pradesh,bijnor,2010,kharif,Rice,55816,131000.0,2.346997277,118024.0,131747.0
601,Uttar Pradesh,budaun,2004,kharif,Rice,90405,142174.0,1.572634257,146059.0,76092.0
602,Uttar Pradesh,budaun,2005,kharif,Rice,67430,118407.0,1.755998814,142174.0,146059.0
603,Uttar Pradesh,budaun,2006,kharif,Rice,87564,161030.0,1.838997762,118407.0,142174.0
604,Uttar Pradesh,budaun,2007,kharif,Rice,88595,163724.0,1.848004966,161030.0,118407.0
605,Uttar Pradesh,budaun,2008,kharif,Rice,77267,137149.0,1.775000971,163724.0,161030.0
606,Uttar Pradesh,budaun,2009,kharif,Rice,67293,135124.0,2.007994888,137149.0,163724.0
607,Uttar Pradesh,budaun,2010,kharif,Rice,84311,158167.0,1.875994829,135124.0,137149.0
610,Uttar Pradesh,bulandshahr,2004,kharif,Rice,50510,122273.0,2.420768165,102596.0,91108.0
611,Uttar Pradesh,bulandshahr,2005,kharif,Rice,45027,102031.0,2.265995958,122273.0,102596.0
612,Uttar Pradesh,bulandshahr,2006,kharif,Rice,46033,100444.0,2.18199987,102031.0,122273.0
613,Uttar Pradesh,bulandshahr,2007,kharif,Rice,58105,135908.0,2.33900697,100444.0,102031.0
614,Uttar Pradesh,bulandshahr,2008,kharif,Rice,69306,160374.0,2.313998788,135908.0,100444.0
615,Uttar Pradesh,bulandshahr,2009,kharif,Rice,61431,138220.0,2.25000407,160374.0,135908.0
616,Uttar Pradesh,bulandshahr,2010,kharif,Rice,74827,168885.0,2.257006161,138220.0,160374.0
619,Uttar Pradesh,deoria,2004,kharif,Rice,130539,213166.0,1.632967925,281680.0,223404.0
620,Uttar Pradesh,deoria,2005,kharif,Rice,130793,237128.0,1.813002225,213166.0,281680.0
621,Uttar Pradesh,deoria,2006,kharif,Rice,121228,207785.0,1.714001716,237128.0,213166.0
622,Uttar Pradesh,deoria,2007,kharif,Rice,129723,255814.0,1.972001881,207785.0,237128.0
623,Uttar Pradesh,deoria,2008,kharif,Rice,129385,278695.0,2.153997759,255814.0,207785.0
624,Uttar Pradesh,deoria,2009,kharif,Rice,118768,169244.0,1.424996632,278695.0,255814.0
625,Uttar Pradesh,deoria,2010,kharif,Rice,128344,256303.0,1.997000249,169244.0,278695.0
628,Uttar Pradesh,etah,2004,kharif,Rice,40518,82558.0,2.037563552,64971.0,63128.0
629,Uttar Pradesh,etah,2005,kharif,Rice,37875,83666.0,2.2090033,82558.0,64971.0
630,Uttar Pradesh,etah,2006,kharif,Rice,41564,90028.0,2.166009046,83666.0,82558.0
631,Uttar Pradesh,etah,2007,kharif,Rice,30937,70784.0,2.288004655,90028.0,83666.0
632,Uttar Pradesh,etah,2008,kharif,Rice,45774,101527.0,2.218005855,70784.0,90028.0
633,Uttar Pradesh,etah,2009,kharif,Rice,16367,36400.0,2.223987292,101527.0,70784.0
634,Uttar Pradesh,etah,2010,kharif,Rice,21823,45872.0,2.102002474,36400.0,101527.0
637,Uttar Pradesh,etawah,2004,kharif,Rice,44493,121859.0,2.738835322,98652.0,90273.0
638,Uttar Pradesh,etawah,2005,kharif,Rice,41868,107936.0,2.57800707,121859.0,98652.0
639,Uttar Pradesh,etawah,2006,kharif,Rice,31781,85046.0,2.676001384,107936.0,121859.0
640,Uttar Pradesh,etawah,2007,kharif,Rice,44284,113633.0,2.566005781,85046.0,107936.0
641,Uttar Pradesh,etawah,2008,kharif,Rice,45157,125040.0,2.769005913,113633.0,85046.0
642,Uttar Pradesh,etawah,2009,kharif,Rice,37865,98260.0,2.595008583,125040.0,113633.0
643,Uttar Pradesh,etawah,2010,kharif,Rice,43727,108224.0,2.474992568,98260.0,125040.0
646,Uttar Pradesh,faizabad,2004,kharif,Rice,72651,171176.0,2.356141003,197095.0,194284.0
647,Uttar Pradesh,faizabad,2005,kharif,Rice,88399,220379.0,2.493003315,171176.0,197095.0
648,Uttar Pradesh,faizabad,2006,kharif,Rice,72337,125866.0,1.739994747,220379.0,171176.0
649,Uttar Pradesh,faizabad,2007,kharif,Rice,70484,149144.0,2.115997957,125866.0,220379.0
650,Uttar Pradesh,faizabad,2008,kharif,Rice,104233,247762.0,2.377001525,149144.0,125866.0
651,Uttar Pradesh,faizabad,2009,kharif,Rice,82232,189216.0,2.301002043,247762.0,149144.0
652,Uttar Pradesh,faizabad,2010,kharif,Rice,97099,214200.0,2.205995942,189216.0,247762.0
655,Uttar Pradesh,farrukhabad,2004,kharif,Rice,15644,35859.0,2.292188699,21304.0,19468.0
656,Uttar Pradesh,farrukhabad,2005,kharif,Rice,13144,27458.0,2.089013999,35859.0,21304.0
657,Uttar Pradesh,farrukhabad,2006,kharif,Rice,14986,34108.0,2.275990925,27458.0,35859.0
658,Uttar Pradesh,farrukhabad,2007,kharif,Rice,13047,29734.0,2.278991339,34108.0,27458.0
659,Uttar Pradesh,farrukhabad,2008,kharif,Rice,14975,37048.0,2.473989983,29734.0,34108.0
660,Uttar Pradesh,farrukhabad,2009,kharif,Rice,8899,19934.0,2.240026969,37048.0,29734.0
661,Uttar Pradesh,farrukhabad,2010,kharif,Rice,14963,24075.0,1.60896879,19934.0,37048.0
664,Uttar Pradesh,fatehpur,2004,kharif,Rice,86201,160017.0,1.856324173,155333.0,114885.0
665,Uttar Pradesh,fatehpur,2005,kharif,Rice,71543,120765.0,1.688005815,160017.0,155333.0
666,Uttar Pradesh,fatehpur,2006,kharif,Rice,80582,136425.0,1.692995954,120765.0,160017.0
667,Uttar Pradesh,fatehpur,2007,kharif,Rice,84135,158258.0,1.881000773,136425.0,120765.0
668,Uttar Pradesh,fatehpur,2008,kharif,Rice,79122,182139.0,2.302001972,158258.0,136425.0
669,Uttar Pradesh,fatehpur,2009,kharif,Rice,61678,133410.0,2.16300788,182139.0,158258.0
670,Uttar Pradesh,fatehpur,2010,kharif,Rice,63527,134105.0,2.110992177,133410.0,182139.0
673,Uttar Pradesh,firozabad,2004,kharif,Rice,14649,40988.0,2.79800669,26784.0,26639.0
674,Uttar Pradesh,firozabad,2005,kharif,Rice,14433,44381.0,3.074967089,40988.0,26784.0
675,Uttar Pradesh,firozabad,2006,kharif,Rice,14989,43963.0,2.933017546,44381.0,40988.0
676,Uttar Pradesh,firozabad,2007,kharif,Rice,16103,48905.0,3.037011737,43963.0,44381.0
677,Uttar Pradesh,firozabad,2008,kharif,Rice,18713,56176.0,3.001977235,48905.0,43963.0
678,Uttar Pradesh,firozabad,2009,kharif,Rice,16939,49513.0,2.923017888,56176.0,48905.0
679,Uttar Pradesh,firozabad,2010,kharif,Rice,19919,54976.0,2.759977911,49513.0,56176.0
682,Uttar Pradesh,ghaziabad,2004,kharif,Rice,20309,49123.0,2.418779851,45904.0,41996.0
683,Uttar Pradesh,ghaziabad,2005,kharif,Rice,21841,50584.0,2.316011172,49123.0,45904.0
684,Uttar Pradesh,ghaziabad,2006,kharif,Rice,21606,49326.0,2.282976951,50584.0,49123.0
685,Uttar Pradesh,ghaziabad,2007,kharif,Rice,20949,49921.0,2.382977708,49326.0,50584.0
686,Uttar Pradesh,ghaziabad,2008,kharif,Rice,23436,59035.0,2.518987882,49921.0,49326.0
687,Uttar Pradesh,ghaziabad,2009,kharif,Rice,22340,61368.0,2.747000895,59035.0,49921.0
688,Uttar Pradesh,ghaziabad,2010,kharif,Rice,30102,76730.0,2.549000066,61368.0,59035.0
691,Uttar Pradesh,ghazipur,2004,kharif,Rice,151689,157236.0,1.036568242,344404.0,298868.0
692,Uttar Pradesh,ghazipur,2005,kharif,Rice,144930,278990.0,1.924998275,157236.0,344404.0
693,Uttar Pradesh,ghazipur,2006,kharif,Rice,149754,288576.0,1.92700028,278990.0,157236.0
694,Uttar Pradesh,ghazipur,2007,kharif,Rice,149871,324021.0,2.161999319,288576.0,278990.0
695,Uttar Pradesh,ghazipur,2008,kharif,Rice,151654,339402.0,2.238002295,324021.0,288576.0
696,Uttar Pradesh,ghazipur,2009,kharif,Rice,121103,224041.0,1.850003716,339402.0,324021.0
697,Uttar Pradesh,ghazipur,2010,kharif,Rice,149321,314321.0,2.105001976,224041.0,339402.0
700,Uttar Pradesh,gonda,2004,kharif,Rice,137035,219000.0,1.598131864,245990.0,166254.0
701,Uttar Pradesh,gonda,2005,kharif,Rice,132082,265617.0,2.011000742,219000.0,245990.0
702,Uttar Pradesh,gonda,2006,kharif,Rice,139035,217868.0,1.567001115,265617.0,219000.0
703,Uttar Pradesh,gonda,2007,kharif,Rice,127327,251725.0,1.976996238,217868.0,265617.0
704,Uttar Pradesh,gonda,2008,kharif,Rice,116178,247343.0,2.129000327,251725.0,217868.0
705,Uttar Pradesh,gonda,2009,kharif,Rice,116741,256363.0,2.195997978,247343.0,251725.0
706,Uttar Pradesh,gonda,2010,kharif,Rice,117388,263888.0,2.247998092,256363.0,247343.0
709,Uttar Pradesh,gorakhpur,2004,kharif,Rice,148255,224879.0,1.51683923,305263.0,227291.0
710,Uttar Pradesh,gorakhpur,2005,kharif,Rice,150889,271902.0,1.802000146,224879.0,305263.0
711,Uttar Pradesh,gorakhpur,2006,kharif,Rice,145171,246210.0,1.69599989,271902.0,224879.0
712,Uttar Pradesh,gorakhpur,2007,kharif,Rice,149578,282104.0,1.885999278,246210.0,271902.0
713,Uttar Pradesh,gorakhpur,2008,kharif,Rice,152772,296072.0,1.93799911,282104.0,246210.0
714,Uttar Pradesh,gorakhpur,2009,kharif,Rice,152407,277533.0,1.820999035,296072.0,282104.0
715,Uttar Pradesh,gorakhpur,2010,kharif,Rice,153977,312111.0,2.026997539,277533.0,296072.0
718,Uttar Pradesh,hamirpur,2004,kharif,Rice,630,683.0,1.084126984,556.0,447.0
719,Uttar Pradesh,hamirpur,2005,kharif,Rice,203,158.0,0.778325123,683.0,556.0
720,Uttar Pradesh,hamirpur,2006,kharif,Rice,630,537.0,0.852380952,158.0,683.0
721,Uttar Pradesh,hamirpur,2007,kharif,Rice,254,125.0,0.492125984,537.0,158.0
722,Uttar Pradesh,hamirpur,2008,kharif,Rice,201,259.0,1.288557214,125.0,537.0
723,Uttar Pradesh,hamirpur,2009,kharif,Rice,64,61.0,0.953125,259.0,125.0
724,Uttar Pradesh,hamirpur,2010,kharif,Rice,159,177.0,1.113207547,61.0,259.0
727,Uttar Pradesh,hardoi,2004,kharif,Rice,147130,345455.0,2.347957589,267702.0,143964.0
728,Uttar Pradesh,hardoi,2005,kharif,Rice,127800,278476.0,2.178998435,345455.0,267702.0
729,Uttar Pradesh,hardoi,2006,kharif,Rice,147130,298674.0,2.03000068,278476.0,345455.0
730,Uttar Pradesh,hardoi,2007,kharif,Rice,151320,294469.0,1.94600185,298674.0,278476.0
731,Uttar Pradesh,hardoi,2008,kharif,Rice,161906,339517.0,2.097000729,294469.0,298674.0
732,Uttar Pradesh,hardoi,2009,kharif,Rice,123955,279271.0,2.253003106,339517.0,294469.0
733,Uttar Pradesh,hardoi,2010,kharif,Rice,130217,265252.0,2.036999777,279271.0,339517.0
736,Uttar Pradesh,jalaun,2004,kharif,Rice,930,519.0,0.558064516,770.0,221.0
737,Uttar Pradesh,jalaun,2005,kharif,Rice,818,869.0,1.062347188,519.0,770.0
738,Uttar Pradesh,jalaun,2006,kharif,Rice,1485,1217.0,0.81952862,869.0,519.0
739,Uttar Pradesh,jalaun,2007,kharif,Rice,233,130.0,0.557939914,1217.0,869.0
